200 833 35160
0 6 522.119 187.968
1 6 538.986 183.626
0 14 442.949 142.838
1 14 463.664 126.468
0 15 67.7619 175.604
1 15 56.6762 172.774
0 17 306.371 119.738
1 17 305.331 110.556
0 35 509.615 216.308
1 35 518.347 215.217
0 36 83.1589 233.854
1 36 59.0713 233.229
0 38 554.595 143.28
1 38 572.215 136.015
0 42 302.887 177.28
1 42 301.94 173.809
0 44 186.094 163.632
1 44 174.993 157.301
0 53 83.0851 199.116
1 53 66.3563 196.229
0 54 470.001 194.069
1 54 476.461 192.091
0 56 545.424 201.304
1 56 556.202 199.454
0 57 395.473 178.467
1 57 401.512 173.544
0 59 443.871 217.763
1 59 449.592 216.736
0 61 118.0 168.225
1 61 109.477 165.196
0 64 287.161 197.331
1 64 284.944 194.451
0 69 572.43 213.364
1 69 584.168 212.125
0 84 447.036 176.772
1 84 453.338 173.636
0 89 76.1365 232.246
1 89 60.417 231.746
0 106 53.7771 234.686
1 106 38.2576 234.376
0 110 227.083 105.373
1 110 214.993 87.8557
0 113 156.29 192.852
1 113 140.484 188.3
0 115 274.758 181.087
1 115 272.813 178.555
0 119 512.103 199.405
1 119 530.318 195.556
0 120 241.192 191.718
1 120 237.901 189.702
0 130 52.1699 177.717
1 130 40.125 174.916
0 132 148.096 159.93
1 132 127.113 150.157
0 134 145.931 176.479
1 134 137.578 173.43
0 148 135.785 85.2333
1 148 116.363 68.9163
0 152 530.317 165.41
1 152 539.631 162.107
0 157 45.5256 237.27
1 157 31.5925 237.132
0 158 104.684 139.585
1 158 88.1112 131.856
0 159 164.688 147.633
1 159 136.515 130.879
0 161 111.172 175.114
1 161 101.799 172.202
0 165 223.221 67.4094
1 165 198.031 22.4857
0 169 223.512 177.769
1 169 214.687 172.077
0 170 192.576 237.399
1 170 187.03 237.286
0 179 291.715 200.845
1 179 289.549 197.847
0 198 442.661 235.923
1 198 451.17 235.641
0 202 296.852 146.586
1 202 295.248 140.11
0 259 394.713 209.036
1 259 398.316 207.542
0 280 302.838 230.703
1 280 301.736 230.106
0 286 424.459 175.647
1 286 430.316 172.039
0 290 346.489 192.917
1 290 347.788 190.608
0 296 399.134 106.109
1 296 406.781 93.1693
0 301 439.155 156.361
1 301 462.659 139.864
0 310 28.9208 163.336
1 310 14.6901 159.588
0 313 349.264 120.424
1 313 351.36 111.862
0 315 155.563 211.198
1 315 144.94 209.337
0 316 376.465 186.11
1 316 379.005 183.686
0 319 361.32 163.059
1 319 364.207 157.683
0 325 236.459 215.946
1 325 232.435 214.787
0 327 490.325 210.802
1 327 500.37 209.08
0 343 147.821 227.493
1 343 139.339 226.877
0 353 252.228 187.546
1 353 248.386 184.572
0 367 214.917 69.296
1 367 202.955 49.8653
0 374 620.275 193.395
1 374 636.69 190.847
0 396 223.922 173.428
1 396 219.598 170.432
0 398 410.5 217.798
1 398 419.015 215.709
0 411 28.3751 229.955
1 411 15.7589 229.521
0 444 575.49 176.545
1 444 587.976 173.444
0 446 531.083 167.512
1 446 541.416 163.964
0 448 324.563 210.102
1 448 324.877 208.049
0 449 64.4461 163.806
1 449 52.1553 160.142
0 452 570.336 180.285
1 452 583.706 177.096
0 463 453.511 123.741
1 463 462.772 115.676
0 468 570.385 170.781
1 468 583.858 167.056
0 469 383.843 134.997
1 469 389.368 125.911
0 481 565.937 225.86
1 481 576.2 225.27
0 487 45.8781 178.379
1 487 33.6372 175.627
0 519 329.697 77.2602
1 519 330.779 59.1006
0 532 466.544 182.541
1 532 476.94 178.465
0 540 592.063 186.885
1 540 603.978 184.559
0 573 335.426 141.365
1 573 336.712 133.143
0 581 159.241 239.57
1 581 150.477 239.547
0 588 332.525 232.821
1 588 333.08 232.503
0 603 98.7846 165.49
1 603 84.8282 160.789
0 629 422.833 179.892
1 629 428.212 176.748
0 639 594.423 213.225
1 639 617.461 210.977
0 655 162.007 211.979
1 655 147.123 209.339
0 658 117.123 210.351
1 658 95.2746 207.158
0 664 511.491 203.772
1 664 525.522 201.118
0 667 279.828 152.508
1 667 275.745 143.615
0 673 595.72 237.947
1 673 608.231 237.854
0 681 358.58 209.34
1 681 360.426 207.873
0 697 405.514 205.631
1 697 409.496 204.03
0 709 410.549 214.233
1 709 415.47 212.833
0 717 132.27 185.997
1 717 123.652 183.518
0 731 535.934 227.446
1 731 546.668 226.822
0 743 590.742 217.234
1 743 603.902 216.127
0 771 347.688 227.502
1 771 348.941 226.937
0 777 366.165 166.872
1 777 371.249 158.819
0 791 576.2 187.456
1 791 588.281 184.978
0 804 212.819 211.852
1 804 207.416 210.433
0 815 405.317 125.006
1 815 411.872 116.171
0 821 543.427 195.266
1 821 562.404 191.466
0 837 265.28 158.93
1 837 262.675 155.071
0 846 204.421 233.401
1 846 199.283 233.108
0 867 304.627 207.791
1 867 303.458 205.341
0 868 30.3578 199.459
1 868 15.3797 197.363
0 878 81.0765 226.985
1 878 54.1123 225.516
0 882 408.64 196.463
1 882 414.259 193.703
0 885 443.611 158.422
1 885 450.014 154.197
0 886 232.461 182.17
1 886 227.938 179.181
0 903 544.838 191.339
1 903 559.253 188.219
0 905 150.915 141.643
1 905 139.646 135.089
0 910 149.988 179.428
1 910 137.544 174.995
0 918 604.975 224.315
1 918 626.783 223.114
0 927 233.322 117.558
1 927 218.95 97.2558
0 928 257.719 199.519
1 928 254.177 197.217
0 939 265.905 212.571
1 939 263.412 211.307
0 963 302.141 194.465
1 963 300.963 191.462
0 971 340.454 198.249
1 971 341.859 195.382
0 979 110.052 55.203
1 979 81.2395 29.8426
0 989 206.463 236.856
1 989 196.993 236.594
1 6 538.986 183.626
2 6 559.008 178.472
1 14 463.664 126.468
2 14 492.91 103.356
1 15 56.6762 172.774
2 15 44.5225 169.671
1 17 305.331 110.556
2 17 304.113 99.8114
1 35 518.347 215.217
2 35 527.961 214.016
1 36 59.0713 233.229
2 36 29.4024 232.459
1 38 572.215 136.015
2 38 592.782 127.536
1 42 301.94 173.809
2 42 300.877 169.915
1 44 174.993 157.301
2 44 161.829 149.794
1 45 441.284 234.645
2 45 446.428 234.418
1 53 66.3563 196.229
2 53 47.0055 192.89
1 54 476.461 192.091
2 54 483.53 189.926
1 56 556.202 199.454
2 56 568.111 197.41
1 57 401.512 173.544
2 57 408.631 167.74
1 59 449.592 216.736
2 59 455.894 215.605
1 61 109.477 165.196
2 61 100.166 161.888
1 64 284.944 194.451
2 64 282.396 191.14
1 69 584.168 212.125
2 69 597.103 210.76
1 84 453.338 173.636
2 84 460.326 170.158
1 89 60.417 231.746
2 89 42.4574 231.175
1 106 38.2576 234.376
2 106 20.7452 234.027
1 110 214.993 87.8557
2 110 199.216 64.997
1 113 140.484 188.3
2 113 121.218 182.751
1 115 272.813 178.555
2 115 270.686 175.784
1 119 530.318 195.556
2 119 552.443 190.88
1 120 237.901 189.702
2 120 234.309 187.501
1 130 40.125 174.916
2 130 26.8926 171.839
1 132 127.113 150.157
2 132 100.178 137.611
1 134 137.578 173.43
2 134 128.346 170.061
1 140 178.228 193.72
2 140 172.09 191.716
1 148 116.363 68.9163
2 148 92.2599 48.6663
1 152 539.631 162.107
2 152 549.849 158.483
1 157 31.5925 237.132
2 157 16.1064 236.978
1 158 88.1112 131.856
2 158 68.6931 122.8
1 159 136.515 130.879
2 159 95.666 106.585
1 161 101.799 172.202
2 161 91.505 169.004
1 169 214.687 172.077
2 169 204.04 165.21
1 170 187.03 237.286
2 170 180.954 237.162
